Panel;Node;Case;MXX (kNm/m);MYY (kNm/m);MXY (kNm/m);NXX (kN/m);NYY (kN/m);NXY (kN/m);QXX (kN/m);QYY (kN/m)
 3; 1777; 102 (C);-4965.99;-6909.86;-237.58;0.0;0.0;0.0;4754.56;-16.25
 3; 1778; 102 (C);-4870.73;-6893.12;-272.81;0.0;0.0;0.0;-4878.93;64.23
 3; 1779; 102 (C);-5011.08;-7259.09;16.71;0.0;0.0;0.0;5422.53;5244.96
 3; 1780; 102 (C);-4982.96;-7266.25;-494.71;0.0;0.0;0.0;-5890.01;5707.26
 3; 1781; 102 (C);-5056.32;-7237.59;-464.78;0.0;0.0;0.0;5438.29;-5411.61
 3; 1782; 102 (C);-4993.94;-7274.32;-16.17;0.0;0.0;0.0;-5737.24;-5425.85
 3; 1783; 102 (C);-4683.90;-7135.85;-249.55;0.0;0.0;0.0;-54.28;4552.63
 3; 1784; 102 (C);-4709.55;-7223.26;-246.58;0.0;0.0;0.0;29.40;-4550.94
 3; 1; 102 (C);15.17;12.81;-20.20;0.0;0.0;0.0;34.39;-84.85
 3; 2; 102 (C);11.72;12.67;20.36;0.0;0.0;0.0;-38.63;-55.51
 3; 3; 102 (C);8.97;6.81;-19.54;0.0;0.0;0.0;-47.55;64.40
 3; 4; 102 (C);9.42;10.58;21.42;0.0;0.0;0.0;32.43;50.24
 3; 21; 102 (C);63.56;23.03;-34.58;0.0;0.0;0.0;-12.68;5.50
 3; 22; 102 (C);139.47;-10.05;-39.94;0.0;0.0;0.0;-250.32;181.20
 3; 23; 102 (C);115.45;-35.39;-15.50;0.0;0.0;0.0;-695.48;256.75
 3; 24; 102 (C);-91.38;-45.97;12.17;0.0;0.0;0.0;-1120.17;224.26
 3; 25; 102 (C);-417.38;-41.83;20.36;0.0;0.0;0.0;-1294.88;65.85
 3; 26; 102 (C);-735.11;-33.17;3.84;0.0;0.0;0.0;-1169.94;-86.83
 3; 27; 102 (C);-962.85;-32.19;-9.34;0.0;0.0;0.0;-845.48;-139.82
 3; 28; 102 (C);-1080.66;-22.56;-13.89;0.0;0.0;0.0;-431.97;-155.37
 3; 29; 102 (C);-1096.52;-4.63;-14.46;0.0;0.0;0.0;12.59;-157.27
 3; 30; 102 (C);-1007.28;20.41;-16.59;0.0;0.0;0.0;456.21;-154.89
 3; 31; 102 (C);-798.31;55.55;-22.25;0.0;0.0;0.0;840.99;-154.69
 3; 32; 102 (C);-465.81;87.55;-31.64;0.0;0.0;0.0;1033.32;-150.16
 3; 33; 102 (C);-147.73;9.28;-78.80;0.0;0.0;0.0;1024.00;150.23
 3; 34; 102 (C);93.97;-40.80;-3.17;0.0;0.0;0.0;592.99;192.28
 3; 35; 102 (C);150.59;3.97;27.76;0.0;0.0;0.0;197.32;81.82
 3; 36; 102 (C);70.96;19.62;21.74;0.0;0.0;0.0;-3.08;-34.09
 3; 37; 102 (C);23.52;53.68;25.27;0.0;0.0;0.0;-42.77;-236.19
 3; 38; 102 (C);-23.81;44.93;35.26;0.0;0.0;0.0;-296.58;-675.66
 3; 39; 102 (C);-54.41;-116.90;-11.49;0.0;0.0;0.0;-380.56;-1265.88
 3; 40; 102 (C);-72.22;-518.14;-42.75;0.0;0.0;0.0;-291.82;-1832.27
 3; 41; 102 (C);-89.26;-1109.90;-77.91;0.0;0.0;0.0;-150.22;-2117.28
 3; 42; 102 (C);-81.11;-1746.10;-72.13;0.0;0.0;0.0;26.76;-2059.21
 3; 43; 102 (C);-85.26;-2334.83;-63.53;0.0;0.0;0.0;119.87;-1746.34
 3; 44; 102 (C);-82.50;-2826.87;-60.79;0.0;0.0;0.0;149.84;-1299.68
 3; 45; 102 (C);-69.61;-3235.32;-64.80;0.0;0.0;0.0;140.60;-794.63
 3; 46; 102 (C);-16.01;-3515.39;-109.45;0.0;0.0;0.0;274.05;-346.74
 3; 47; 102 (C);13.01;-3732.73;-74.95;0.0;0.0;0.0;172.63;112.92
 3; 48; 102 (C);4.15;-3834.49;-58.78;0.0;0.0;0.0;102.79;472.15
 3; 49; 102 (C);-33.03;-3841.29;-38.06;0.0;0.0;0.0;-147.52;603.78
 3; 50; 102 (C);-21.18;-3821.38;-51.56;0.0;0.0;0.0;-113.91;455.32
 3; 51; 102 (C);-12.97;-3889.12;-48.36;0.0;0.0;0.0;-151.63;198.91
 3; 52; 102 (C);4.29;-3993.31;-45.51;0.0;0.0;0.0;-33.52;105.92
 3; 53; 102 (C);25.83;-4028.80;-8.03;0.0;0.0;0.0;134.36;264.75
 3; 54; 102 (C);28.38;-3924.56;27.28;0.0;0.0;0.0;200.64;625.79
 3; 55; 102 (C);39.57;-3652.24;47.06;0.0;0.0;0.0;207.40;1065.77
 3; 56; 102 (C);56.55;-3255.56;49.77;0.0;0.0;0.0;187.15;1495.59
 3; 57; 102 (C);79.97;-2774.60;43.59;0.0;0.0;0.0;159.81;1876.24
 3; 58; 102 (C);107.13;-2232.95;36.73;0.0;0.0;0.0;132.33;2183.94
 3; 59; 102 (C);141.11;-1632.46;33.30;0.0;0.0;0.0;101.97;2376.53
 3; 60; 102 (C);175.14;-971.65;34.55;0.0;0.0;0.0;105.32;2278.57
 3; 61; 102 (C);6.56;-447.03;87.84;0.0;0.0;0.0;-350.16;1946.29
 3; 62; 102 (C);-63.67;-81.14;-5.75;0.0;0.0;0.0;-309.90;1297.09
 3; 63; 102 (C);-4.75;58.74;-38.38;0.0;0.0;0.0;-155.79;656.27
 3; 64; 102 (C);15.50;41.89;-25.10;0.0;0.0;0.0;-40.44;219.58
 3; 65; 102 (C);68.92;21.76;-25.39;0.0;0.0;0.0;5.66;32.54
 3; 66; 102 (C);134.84;-8.75;-35.24;0.0;0.0;0.0;227.40;-170.20
 3; 67; 102 (C);84.90;-39.31;-1.05;0.0;0.0;0.0;640.23;-259.81
 3; 68; 102 (C);-147.09;-45.73;30.70;0.0;0.0;0.0;1041.79;-211.18
 3; 69; 102 (C);-504.71;-40.55;40.42;0.0;0.0;0.0;1185.91;-55.92
 3; 70; 102 (C);-848.82;-30.42;22.99;0.0;0.0;0.0;1027.31;94.50
 3; 71; 102 (C);-1091.84;-27.66;7.02;0.0;0.0;0.0;672.90;145.25
 3; 72; 102 (C);-1210.60;-16.02;-1.42;0.0;0.0;0.0;236.17;158.13
 3; 73; 102 (C);-1212.94;3.83;-6.04;0.0;0.0;0.0;-221.40;156.75
 3; 74; 102 (C);-1098.99;30.17;-11.46;0.0;0.0;0.0;-664.91;150.61
 3; 75; 102 (C);-860.17;65.59;-19.08;0.0;0.0;0.0;-1035.19;146.68
 3; 76; 102 (C);-499.67;96.39;-29.23;0.0;0.0;0.0;-1198.68;139.91
 3; 77; 102 (C);-159.32;10.53;-75.32;0.0;0.0;0.0;-1152.76;-173.35
 3; 78; 102 (C);90.15;-44.09;2.92;0.0;0.0;0.0;-679.98;-202.36
 3; 79; 102 (C);148.82;3.55;32.85;0.0;0.0;0.0;-244.86;-91.90
 3; 80; 102 (C);69.16;19.49;23.60;0.0;0.0;0.0;-15.52;29.56
 3; 81; 102 (C);24.14;55.06;27.38;0.0;0.0;0.0;36.08;226.85
 3; 82; 102 (C);-20.62;56.53;41.99;0.0;0.0;0.0;290.83;665.77
 3; 83; 102 (C);-53.30;-86.86;-1.49;0.0;0.0;0.0;385.73;1272.40
 3; 84; 102 (C);-72.09;-462.41;-30.30;0.0;0.0;0.0;307.72;1878.70
 3; 85; 102 (C);-92.01;-1034.57;-64.89;0.0;0.0;0.0;180.23;2235.62
 3; 86; 102 (C);-91.14;-1676.60;-63.56;0.0;0.0;0.0;19.20;2282.66
 3; 87; 102 (C);-106.64;-2316.45;-62.70;0.0;0.0;0.0;-63.61;2093.59
 3; 88; 102 (C);-110.85;-2921.63;-70.39;0.0;0.0;0.0;-88.48;1742.49
 3; 89; 102 (C);-13.54;-3424.66;-142.65;0.0;0.0;0.0;-268.01;1363.17
 3; 90; 102 (C);60.42;-3873.71;-88.96;0.0;0.0;0.0;-236.77;852.79
 3; 91; 102 (C);35.41;-4217.22;-76.39;0.0;0.0;0.0;-233.08;305.83
 3; 92; 102 (C);11.29;-4381.04;-46.80;0.0;0.0;0.0;-155.37;-177.20
 3; 93; 102 (C);-25.54;-4372.06;-12.94;0.0;0.0;0.0;8.69;-474.01
 3; 94; 102 (C);-9.95;-4250.62;-3.34;0.0;0.0;0.0;88.56;-503.49
 3; 95; 102 (C);-6.79;-4148.66;2.07;0.0;0.0;0.0;116.51;-391.89
 3; 96; 102 (C);3.31;-4081.49;-3.88;0.0;0.0;0.0;16.41;-369.68
 3; 97; 102 (C);28.99;-3968.63;18.98;0.0;0.0;0.0;-143.59;-553.38
 3; 98; 102 (C);35.06;-3747.82;38.27;0.0;0.0;0.0;-199.46;-912.60
 3; 99; 102 (C);44.90;-3404.57;41.02;0.0;0.0;0.0;-190.79;-1331.30
 3; 100; 102 (C);62.80;-2980.89;30.42;0.0;0.0;0.0;-162.81;-1723.20
 3; 101; 102 (C);85.78;-2511.60;16.30;0.0;0.0;0.0;-132.46;-2059.42
 3; 102; 102 (C);111.50;-2007.12;7.09;0.0;0.0;0.0;-104.99;-2323.95
 3; 103; 102 (C);143.05;-1456.83;5.75;0.0;0.0;0.0;-77.16;-2477.66
 3; 104; 102 (C);174.11;-850.86;11.94;0.0;0.0;0.0;-84.57;-2345.53
 3; 105; 102 (C);10.80;-368.29;61.94;0.0;0.0;0.0;365.92;-1983.47
 3; 106; 102 (C);-55.75;-42.25;-24.41;0.0;0.0;0.0;296.97;-1328.98
 3; 107; 102 (C);-4.79;64.27;-41.74;0.0;0.0;0.0;137.81;-662.43
 3; 108; 102 (C);17.68;32.19;-34.47;0.0;0.0;0.0;100.58;-216.33
 3; 109; 102 (C);82.46;55.66;-60.84;0.0;0.0;0.0;120.07;-78.98
 3; 110; 102 (C);182.51;36.09;-84.82;0.0;0.0;0.0;-75.40;302.45
 3; 111; 102 (C);162.26;-35.15;-33.96;0.0;0.0;0.0;-593.28;698.93
 3; 112; 102 (C);-18.31;-4.69;47.45;0.0;0.0;0.0;-1149.57;612.71
 3; 113; 102 (C);-329.93;48.83;57.02;0.0;0.0;0.0;-1436.43;-7.28
 3; 114; 102 (C);-655.94;30.50;27.97;0.0;0.0;0.0;-1325.65;-266.13
 3; 115; 102 (C);-895.15;2.30;1.76;0.0;0.0;0.0;-984.68;-357.12
 3; 116; 102 (C);-1044.00;-19.28;-12.90;0.0;0.0;0.0;-579.76;-392.96
 3; 117; 102 (C);-1101.05;-33.36;-20.68;0.0;0.0;0.0;-148.83;-411.95
 3; 118; 102 (C);-1064.21;-40.05;-29.20;0.0;0.0;0.0;293.93;-420.61
 3; 119; 102 (C);-929.13;-37.70;-47.45;0.0;0.0;0.0;732.20;-403.47
 3; 120; 102 (C);-692.15;-21.82;-78.82;0.0;0.0;0.0;1103.33;-307.29
 3; 121; 102 (C);-359.77;1.71;-115.86;0.0;0.0;0.0;1229.79;-2.98
 3; 122; 102 (C);-16.12;60.91;-83.37;0.0;0.0;0.0;930.85;363.55
 3; 123; 102 (C);137.53;-39.76;8.50;0.0;0.0;0.0;384.91;699.09
 3; 124; 102 (C);129.24;-14.42;66.87;0.0;0.0;0.0;-7.76;442.20
 3; 125; 102 (C);54.63;30.29;47.07;0.0;0.0;0.0;-135.12;-49.23
 3; 126; 102 (C);43.49;88.15;-85.14;0.0;0.0;0.0;507.51;-338.09
 3; 127; 102 (C);220.05;135.82;-178.24;0.0;0.0;0.0;589.87;374.33
 3; 128; 102 (C);349.69;-67.33;-93.85;0.0;0.0;0.0;-237.05;4063.95
 3; 129; 102 (C);156.45;163.65;113.06;0.0;0.0;0.0;-1636.06;694.99
 3; 130; 102 (C);-375.20;71.77;71.25;0.0;0.0;0.0;-2106.55;-327.92
 3; 131; 102 (C);-694.33;-22.83;22.02;0.0;0.0;0.0;-1569.14;-643.58
 3; 132; 102 (C);-915.39;-86.80;-10.39;0.0;0.0;0.0;-1090.60;-740.80
 3; 133; 102 (C);-1057.47;-122.76;-27.22;0.0;0.0;0.0;-641.39;-779.71
 3; 134; 102 (C);-1120.49;-138.18;-36.55;0.0;0.0;0.0;-199.13;-805.76
 3; 135; 102 (C);-1101.22;-135.38;-47.32;0.0;0.0;0.0;256.65;-827.57
 3; 136; 102 (C);-995.84;-111.08;-67.52;0.0;0.0;0.0;744.35;-829.03
 3; 137; 102 (C);-799.49;-60.51;-106.61;0.0;0.0;0.0;1300.56;-754.85
 3; 138; 102 (C);-473.75;37.44;-152.79;0.0;0.0;0.0;1749.01;-457.08
 3; 139; 102 (C);-70.97;9.74;-212.25;0.0;0.0;0.0;1683.59;789.61
 3; 140; 102 (C);268.15;-91.45;-37.57;0.0;0.0;0.0;559.52;3747.49
 3; 141; 102 (C);227.79;85.93;112.59;0.0;0.0;0.0;-588.69;370.86
 3; 142; 102 (C);54.09;77.52;68.03;0.0;0.0;0.0;-562.27;-472.10
 3; 143; 102 (C);23.63;50.48;-66.04;0.0;0.0;0.0;967.58;-988.85
 3; 144; 102 (C);-7.16;215.96;-68.56;0.0;0.0;0.0;4519.24;-1309.73
 3; 145; 102 (C);-57.61;250.44;9.74;0.0;0.0;0.0;-6386.20;-998.31
 3; 146; 102 (C);-469.75;-17.25;-7.76;0.0;0.0;0.0;-2703.82;-1119.03
 3; 147; 102 (C);-754.26;-164.98;-30.88;0.0;0.0;0.0;-1743.38;-1150.61
 3; 148; 102 (C);-959.56;-250.73;-43.27;0.0;0.0;0.0;-1137.24;-1167.04
 3; 149; 102 (C);-1093.38;-300.13;-50.28;0.0;0.0;0.0;-664.17;-1181.60
 3; 150; 102 (C);-1156.07;-321.29;-53.82;0.0;0.0;0.0;-219.94;-1210.75
 3; 151; 102 (C);-1144.97;-317.04;-58.53;0.0;0.0;0.0;239.62;-1258.49
 3; 152; 102 (C);-1055.72;-282.99;-70.68;0.0;0.0;0.0;757.37;-1316.43
 3; 153; 102 (C);-877.71;-209.36;-88.23;0.0;0.0;0.0;1417.93;-1354.79
 3; 154; 102 (C);-604.63;-82.16;-127.91;0.0;0.0;0.0;2447.42;-1350.64
 3; 155; 102 (C);-175.21;260.34;-241.67;0.0;0.0;0.0;6004.99;-838.44
 3; 156; 102 (C);34.68;170.60;55.93;0.0;0.0;0.0;-4114.91;-645.26
 3; 157; 102 (C);-28.42;-89.64;-1.98;0.0;0.0;0.0;-932.03;-1167.41
 3; 158; 102 (C);79.17;-175.10;37.05;0.0;0.0;0.0;1013.67;-1720.39
 3; 159; 102 (C);391.72;-77.86;122.76;0.0;0.0;0.0;445.66;-2695.48
 3; 160; 102 (C);359.61;30.23;-132.51;0.0;0.0;0.0;-1419.80;-2942.16
 3; 161; 102 (C);-486.68;-322.52;-133.21;0.0;0.0;0.0;-2693.11;-2069.02
 3; 162; 102 (C);-782.47;-430.03;-95.08;0.0;0.0;0.0;-1648.26;-1710.04
 3; 163; 102 (C);-996.27;-505.11;-81.99;0.0;0.0;0.0;-1110.92;-1594.35
 3; 164; 102 (C);-1132.43;-553.57;-76.08;0.0;0.0;0.0;-671.12;-1569.26
 3; 165; 102 (C);-1197.76;-581.81;-71.48;0.0;0.0;0.0;-259.27;-1595.80
 3; 166; 102 (C);-1194.18;-587.10;-66.95;0.0;0.0;0.0;168.85;-1674.09
 3; 167; 102 (C);-1117.15;-563.40;-63.88;0.0;0.0;0.0;663.63;-1806.44
 3; 168; 102 (C);-954.71;-500.04;-70.53;0.0;0.0;0.0;1277.84;-1997.70
 3; 169; 102 (C);-698.85;-388.52;-42.95;0.0;0.0;0.0;2326.72;-2200.13
 3; 170; 102 (C);-315.75;-125.64;65.29;0.0;0.0;0.0;5880.80;-2668.33
 3; 171; 102 (C);-67.67;-229.55;-285.05;0.0;0.0;0.0;-4006.35;-2466.32
 3; 172; 102 (C);-40.70;-450.76;-126.50;0.0;0.0;0.0;-818.21;-1926.88
 3; 173; 102 (C);27.18;-632.73;86.07;0.0;0.0;0.0;287.67;-2396.28
 3; 174; 102 (C);22.09;-904.52;146.34;0.0;0.0;0.0;156.02;-3495.59
 3; 175; 102 (C);157.67;-787.59;23.88;0.0;0.0;0.0;-490.08;-5516.99
 3; 176; 102 (C);-109.45;-833.25;-140.45;0.0;0.0;0.0;-1123.40;-3913.91
 3; 177; 102 (C);-474.66;-786.91;-143.22;0.0;0.0;0.0;-1601.94;-2583.95
 3; 178; 102 (C);-798.49;-822.18;-121.16;0.0;0.0;0.0;-1392.20;-2165.46
 3; 179; 102 (C);-1023.34;-842.87;-109.41;0.0;0.0;0.0;-1020.59;-1976.95
 3; 180; 102 (C);-1175.24;-878.72;-100.27;0.0;0.0;0.0;-660.65;-1915.29
 3; 181; 102 (C);-1245.34;-912.29;-95.27;0.0;0.0;0.0;-315.25;-1935.43
 3; 182; 102 (C);-1245.73;-939.64;-85.69;0.0;0.0;0.0;40.94;-2031.90
 3; 183; 102 (C);-1181.69;-943.06;-73.89;0.0;0.0;0.0;446.39;-2244.95
 3; 184; 102 (C);-1050.80;-921.86;-67.36;0.0;0.0;0.0;970.74;-2539.97
 3; 185; 102 (C);-730.49;-826.08;-56.26;0.0;0.0;0.0;1385.47;-2990.18
 3; 186; 102 (C);-422.61;-1086.63;-12.42;0.0;0.0;0.0;1301.89;-4120.86
 3; 187; 102 (C);76.28;-1055.98;-212.22;0.0;0.0;0.0;758.41;-6100.72
 3; 188; 102 (C);48.64;-1029.85;-320.96;0.0;0.0;0.0;10.80;-3382.76
 3; 189; 102 (C);37.11;-974.62;-168.63;0.0;0.0;0.0;-205.00;-2351.30
 3; 190; 102 (C);-36.97;-1222.21;66.34;0.0;0.0;0.0;-24.88;-2634.25
 3; 191; 102 (C);-2.02;-1321.03;81.34;0.0;0.0;0.0;-271.86;-2864.13
 3; 192; 102 (C);-90.85;-1375.05;27.25;0.0;0.0;0.0;-623.85;-3124.72
 3; 193; 102 (C);-279.90;-1312.75;-50.22;0.0;0.0;0.0;-954.84;-3029.18
 3; 194; 102 (C);-554.79;-1269.35;-90.92;0.0;0.0;0.0;-1145.90;-2741.46
 3; 195; 102 (C);-869.57;-1270.82;-93.15;0.0;0.0;0.0;-1127.71;-2430.24
 3; 196; 102 (C);-1090.21;-1260.99;-102.43;0.0;0.0;0.0;-917.65;-2278.96
 3; 197; 102 (C);-1228.35;-1251.86;-121.89;0.0;0.0;0.0;-646.85;-2208.96
 3; 198; 102 (C);-1305.33;-1291.36;-130.02;0.0;0.0;0.0;-372.84;-2212.59
 3; 199; 102 (C);-1304.57;-1348.45;-131.48;0.0;0.0;0.0;-133.96;-2293.60
 3; 200; 102 (C);-1273.09;-1412.86;-120.83;0.0;0.0;0.0;137.44;-2492.20
 3; 201; 102 (C);-1100.18;-1372.79;-87.56;0.0;0.0;0.0;459.67;-3016.73
 3; 202; 102 (C);-885.05;-1428.95;-137.86;0.0;0.0;0.0;901.93;-3595.64
 3; 203; 102 (C);-571.65;-1572.94;-228.31;0.0;0.0;0.0;1110.58;-3857.79
 3; 204; 102 (C);-256.65;-1717.00;-291.73;0.0;0.0;0.0;967.03;-3433.26
 3; 205; 102 (C);-42.20;-1628.03;-286.62;0.0;0.0;0.0;586.60;-2946.03
 3; 206; 102 (C);40.02;-1597.08;-169.77;0.0;0.0;0.0;219.49;-2377.33
 3; 207; 102 (C);-71.15;-1749.60;55.30;0.0;0.0;0.0;-178.96;-2493.61
 3; 208; 102 (C);-97.70;-1820.06;80.79;0.0;0.0;0.0;-404.55;-2615.63
 3; 209; 102 (C);-216.90;-1821.94;70.11;0.0;0.0;0.0;-663.84;-2697.44
